state,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,annual_cost_of_living,median_family_income,col_index,metro_avg_cost,nonmetro_avg_cost,metro_premium,avg_hourly_wage,median_hourly_wage,n_occupations,n_metro_areas,avg_annual_wage,monster_median_salary,monster_job_count,real_wage_gap_bls,real_wage_gap_monster,is_high_cost_state
AK,10211.586206896553,3416.16823862069,10179.611420689655,6252.497131034483,4937.872853793104,0.0,5440.054324137931,40437.78972413793,79776.171875,1.0858,40423.4932,40439.43932307693,-15.946123076930235,27.786206947938737,25.242222222222225,20,3,57795.0,,,17357.210275862068,,True
AL,6414.950820895523,3275.5974985074627,10966.870205373134,5691.5363713432835,3511.26784119403,0.0,5672.986617313433,35533.20936716418,73010.4140625,0.9541,36572.7564,34739.870842105265,1832.8855578947332,21.426416002454804,18.583333333333332,18,13,44567.0,70000.0,20.0,9033.790632835822,34466.79063283582,False
AR,6077.4667584,3008.233088,11104.9119776,4821.90732,3292.1073648,0.0,5123.8432976,33428.47008,58720.07421875,0.8976,34257.81456,33126.89026909091,1130.92429090909,19.98856413663847,18.35571428571429,20,7,41576.0,65000.0,9.0,8147.529920000001,31571.52992,False
AZ,8341.042624,3146.4297759999995,11091.127648,5810.400096,4162.364256,0.0,5573.4533360000005,38124.81784,42365.81640625,1.0237,39016.4817,37105.773428571425,1910.7082714285716,23.018678464424838,20.203333333333333,19,9,47879.0,43680.0,12.0,9754.182159999997,5555.182159999997,True
CA,12793.102367586207,3736.476213103448,11771.155036551723,5686.360988275863,5989.318233103449,0.0,7949.333031724138,47925.74600689655,122820.71875,1.2868,51069.76572972973,42386.282685714286,8683.48304401544,26.867322122058646,24.33895833333333,20,25,55884.0,50960.0,244.0,7958.253993103448,3034.253993103448,True
CO,9675.563255625,3541.3221375,11906.83414125,4162.541073750001,4788.998788125,0.0,6422.12018625,40497.3795375,82814.546875,1.0874,43889.74609411765,39270.353336170214,4619.392757947433,25.622302073104947,23.294444444444444,19,8,53294.0,45000.0,65.0,12796.620462500003,4502.620462500003,True
CT,10921.27005,3748.01403,10441.33512,5222.74497,5315.260065,0.0,7024.429155,42673.053,121937.6484375,1.1458,42834.55714285715,41542.524,1292.0331428571517,28.220547218237876,26.16,21,8,58699.0,67850.0,10.0,16025.947,25176.947,True
DC,16642.2792,4492.42932,5660.73708,4933.47984,7657.93872,0.0,6929.51148,46316.376,116607.390625,1.2436,46316.376,,,31.686319268784953,27.25142857142857,18,1,65908.0,70000.0,19.0,19591.624000000003,23683.624000000003,True
DE,9748.1404,3472.20872,10149.49512,5689.47984,4790.2537999999995,0.0,6627.779399999999,40477.3564,72821.4765625,1.0868,40477.3564,,,24.020393532663057,20.82624125874126,19,2,49962.0,29120.0,7.0,9484.643600000003,-11357.356399999997,True
FL,9123.819462089552,3458.788126567164,10343.896748059702,5398.049018507463,4559.174933731343,0.0,5024.055028656717,37907.78331940299,77956.6328125,1.0179,38454.83506363636,36861.24954782608,1593.5855158102786,22.997715811921683,20.4648,20,22,47835.0,45000.0,162.0,9927.216680597012,7092.216680597012,True
GA,7310.006098113207,3179.551830188679,11048.333900377358,5138.607936603774,3800.780501132075,0.0,5897.82159245283,36375.10176603774,51470.68359375,0.9767,38336.99190810811,34667.10328941177,3669.8886186963427,22.595687616071086,19.811612903225804,20,15,46999.0,38480.0,133.0,10623.89823396226,2104.89823396226,False
HI,14180.570231999998,5079.905928,11411.694599999999,4650.340056,6978.830112000001,0.0,9944.491536,52245.83136,77351.8359375,1.4028,53137.624,50908.1424,2229.4816000000064,25.72135335855001,23.7675,20,4,53500.0,,,1254.1686400000035,,True
IA,6411.823626666666,3040.5405466666666,11247.013648484848,4873.557247272726,3424.9643054545454,0.0,5484.291958787879,34482.19127272727,75375.1953125,0.9259,34513.596,34473.736153846156,39.85984615384223,23.143536918068413,20.671944444444442,20,8,48139.0,41600.0,21.0,13656.808727272728,7117.808727272728,False
ID,6982.016154545455,3371.6799245454545,11943.899822727271,4999.902850909091,3751.5524045454545,0.0,5890.5882054545455,36939.639354545456,87161.1015625,0.9919,35750.99717142857,37494.33904,-1743.3418685714278,22.14850646313618,20.458888888888893,20,6,46069.0,45625.0,3.0,9129.360645454544,8685.360645454544,False
IL,6721.259676470588,2968.2013811764705,10807.721648235294,6232.478188235294,3510.8738552941177,0.0,5992.089114117647,36232.62388235294,70670.2734375,0.9729,37348.35258,35512.79891612903,1835.5536638709673,23.654588728369163,21.252222222222223,20,10,49202.0,67600.0,152.0,12969.376117647058,31367.376117647058,False
IN,6702.072026086956,2887.780861304348,10829.422986521738,4920.092551304348,3474.781905652174,0.0,5089.92019173913,33904.0705826087,67369.03125,0.9103,34458.108627272726,33396.202375,1061.9062522727254,22.707486396228063,19.999375,20,13,47232.0,45000.0,53.0,13327.9294173913,11095.9294173913,False
KS,6676.404806857143,3141.686811428571,11407.684003428572,5749.266549714285,3557.4818079999995,0.0,5753.354374857143,36285.87841142857,60393.80078125,0.9743,36330.17330526315,36276.09233023256,54.080975030592526,22.262275072605647,20.48076923076923,20,5,46306.0,51940.0,24.0,10020.121588571426,15654.121588571426,False
KY,6164.304908,2879.097335,11172.407323,5060.274577,3276.781293,0.0,5572.627756,34125.49315,48017.46484375,0.9163,35175.200365714285,33693.260767058826,1481.9395986554591,21.875555171906576,19.545555555555556,18,6,45501.0,70000.0,28.0,11375.506849999998,35874.50685,False
LA,7450.295548125,3264.273856875,10820.35326375,5988.823535625,3882.311055,0.0,5672.567604375,37078.625175,58169.6953125,0.9956,37535.51808,36527.202703448274,1008.3153765517272,21.39070875028799,19.556464285714288,20,10,44493.0,47500.0,19.0,7414.374824999999,10421.374824999999,False
MA,14555.659234285715,4005.5395457142854,9958.567379999999,4438.034262857143,6725.454428571428,0.0,8296.086951428571,47979.34234285714,95838.8125,1.2883,46920.73843636364,51860.88999999999,-4940.151563636355,25.959975631065664,22.9975,20,7,53997.0,74940.0,166.0,6017.6576571428595,26960.65765714286,True
MD,11102.847915,3460.536635,10506.768030000001,3572.9194650000004,5276.888605,0.0,6697.68494,40617.645599999996,62822.24609375,1.0906,41680.5828631579,36578.484,5102.098863157902,25.64317910609839,21.670909090909092,20,6,53338.0,67000.0,23.0,12720.354400000004,26382.354400000004,True
ME,8236.7598975,3953.5712999999996,10956.8787675,5208.6674475,4417.0377450000005,0.0,6197.01396,38969.929125,69864.21875,1.0464,40680.56496,38192.36738181818,2488.1975781818255,22.443985359067803,18.365000000000002,18,4,46683.0,37170.0,3.0,7713.070874999998,-1799.9291250000024,True
MI,6910.969737831325,3121.5377595180726,10888.828237590362,4518.89670939759,3635.17313060241,0.0,5157.320674698795,34232.7261686747,52728.54296875,0.9192,34314.693,34195.337789473684,119.3552105263152,23.183093919918285,20.71046666666667,20,14,48221.0,67500.0,44.0,13988.2738313253,33267.2738313253,False
MN,6886.618375172415,3281.640259310345,11133.569666206897,4409.03272137931,3684.361088275862,0.0,5179.058449655173,34574.28041379311,62395.0859375,0.9283,37055.406533333335,33457.77366,3597.6328733333357,23.982068533895806,21.519375,20,6,49883.0,56784.0,34.0,15308.719586206891,22209.71958620689,False
MO,6040.324524827586,2996.9802403448275,10956.25600137931,6021.00979137931,3274.571927586207,0.0,5208.997902413793,34498.14047586207,64729.05859375,0.9263,35105.727360000004,34235.602933333335,870.124426666669,22.24068253692052,20.109318181818182,20,9,46261.0,38000.0,51.0,11762.85952413793,3501.85952413793,False
MS,6616.653892682926,3192.2489575609757,11055.924390731707,5869.689144878048,3554.1523243902443,0.0,5545.9040341463415,35834.57256585366,40565.7890625,0.9622,36809.99272941176,35579.462676923074,1230.5300524886843,21.166455819190013,18.093611111111112,18,4,44026.0,70000.0,12.0,8191.427434146339,34165.42743414634,False
MT,7037.582663571428,3414.8985192857144,12059.163771428572,4941.414107142858,3787.3461707142856,0.0,6039.420816428572,37279.82607857143,72938.53125,1.001,35837.40407999999,37421.24,-1583.835920000005,22.39552882073241,20.112826086956524,19,4,46583.0,55000.0,3.0,9303.17392142857,17720.17392142857,True
NC,7688.5876416,3129.2415696,10957.537237199998,5586.147365999999,3919.726152,0.0,5961.7337112000005,37242.97386,66801.1953125,1.0,38046.38152173913,36558.589555555554,1487.7919661835767,23.271492510323913,20.202,20,16,48405.0,62400.0,53.0,11162.026140000002,25157.02614,False
ND,7276.175413584906,3414.1993743396224,12099.45302264151,4554.5382883018865,3873.544360754717,0.0,4929.92287018868,36147.83318490566,88849.203125,0.9706,34909.4964,36305.91873191489,-1396.4223319148878,23.588973027753628,22.32603846153846,20,4,49065.0,92500.0,1.0,12917.166815094337,56352.16681509434,False
NE,6063.006131612903,3184.382562580645,11714.20841548387,7097.427402580645,3350.6935858064517,0.0,5696.559305806451,37106.277535483874,72584.28125,0.9963,36061.12689230769,37276.114515,-1214.987622692308,22.480466087402743,20.37764705882353,20,4,46759.0,37232.0,3.0,9652.722464516126,125.72246451612591,False
NH,9474.402756,3773.433216,10881.701592000001,3840.4880160000002,4800.213444,0.0,4997.010192,37767.24948,87885.015625,1.0141,40236.1612,36709.14445714286,3527.016742857144,26.321564056828652,23.504285714285714,20,4,54749.0,32240.0,7.0,16981.75052,-5527.249479999999,True
NJ,13184.014371428571,3697.9911714285713,9509.172125714285,4672.53996,6117.016405714286,0.0,6602.170005714285,43782.9036,80943.671875,1.1756,43782.9036,,,28.169085172267184,25.731111111111108,21,5,58592.0,60000.0,83.0,14809.096400000002,16217.096400000002,True
NM,7677.75768,3247.4143018181817,11089.399592727274,3965.4528763636367,3958.62068,0.0,5200.484090909091,35139.12952727273,69691.7109375,0.9435,33977.25942857143,35451.94070769231,-1474.6812791208795,23.03074855990155,20.144411764705882,19,5,47904.0,93500.0,3.0,12764.87047272727,58360.87047272727,False
NV,7242.548174117647,3478.718555294118,12132.040094117649,5894.7152258823535,3884.737778823529,0.0,4969.71314117647,37602.47272941176,68994.4921875,1.0097,36478.1454,37948.4196,-1470.2741999999998,25.90487965275465,23.822222222222223,19,4,53882.0,41550.0,76.0,16279.527270588238,3947.527270588238,True
NY,9977.351490967741,3384.2989412903225,10285.449930967743,5580.916794193548,4841.452900645161,0.0,6911.89041483871,40981.360412903225,97041.21875,1.1004,43234.28242105263,37414.2339,5820.048521052631,26.293204085994976,23.554999999999996,21,13,54690.0,65000.0,74.0,13708.639587096775,24018.639587096775,True
OH,6832.838731363637,2940.5227431818184,10576.740448636365,4567.929493636363,3541.274288181818,0.0,4654.815043636364,33114.12075,50041.33984375,0.8891,33014.09317894737,33190.141704,-176.0485250526326,23.49391603880045,20.775000000000002,20,11,48867.0,45261.0,305.0,15752.879249999998,12146.879249999998,False
OK,6791.343333506493,3189.744762077922,11523.926911168832,5608.44076987013,3616.5418503896103,0.0,5746.297326233766,36476.29517922078,44935.9609375,0.9794,36221.4084,36559.7925724138,-338.3841724137965,21.5661579151808,19.8762987012987,20,4,44858.0,64250.0,10.0,8381.704820779218,27773.704820779218,False
OR,8774.348633333335,3515.4383399999997,11494.2751,5101.955113333333,4453.07447,0.0,7538.423073333334,40877.514566666665,59848.5546875,1.0976,43716.43707692308,39272.90619130435,4443.530885618733,24.324524211445592,22.59166666666667,20,9,50595.0,28080.0,5.0,9717.485433333335,-12797.514566666665,True
PA,7656.738805970149,3256.3957450746266,10414.65388835821,4489.513130149254,3954.2589976119402,0.0,5375.666724179105,35147.22712835821,83362.875,0.9437,36127.24083243243,33938.54356,2188.6972724324296,23.42533339890986,20.44846153846154,20,18,48725.0,42050.0,76.0,13577.772871641791,6902.772871641791,False
RI,11352.690648,3986.12316,9548.919888,3616.5399600000005,5557.857048,0.0,6181.517136,40243.64712,115787.984375,1.0806,40243.64712,,,24.97637769297831,22.27,18,2,51951.0,58327.0,10.0,11707.352879999999,18083.35288,True
SC,7556.903955652174,3068.3305956521735,10766.809155652174,4835.527753043478,3849.9414991304347,0.0,5488.765030434783,35566.27805217391,53251.19921875,0.955,37009.30343076923,33690.34506,3318.958370769229,22.59527884318512,20.49301818181818,20,9,46998.0,58200.0,32.0,11431.721947826089,22633.72194782609,False
SD,6235.375803636364,3350.0651236363638,11571.628398181818,6808.042712727272,3473.183243636364,0.0,4731.801938181818,36170.09701818182,75728.421875,0.9712,36246.9786,36159.492662068966,87.48593793103646,22.173752487341563,19.825625000000002,20,3,46121.0,33280.0,1.0,9950.90298181818,-2890.0970181818193,False
TN,6815.511650526315,3246.322178526316,11107.01623705263,5046.295004210526,3645.79920631579,0.0,4418.044916210526,34278.988964210526,63724.82421875,0.9204,35300.64005714286,33469.37866415094,1831.261392991917,21.113786541117857,18.851666666666667,18,10,43917.0,37500.0,74.0,9638.011035789474,3221.0110357894737,False
TX,7517.287052598425,2963.895597165354,11244.34158992126,5388.556042677165,3797.7458277165356,0.0,4626.552510236221,35538.37869448819,54954.703125,0.9542,36967.60703414634,34857.00239302326,2110.6046411230855,22.34318176960373,20.201428571428572,20,25,46474.0,58302.0,495.0,10935.621305511813,22763.621305511813,False
UT,7450.697251034483,3274.962033103448,12007.25672275862,4792.418048275862,3886.329368275862,0.0,6008.137651034483,37419.80089655172,68837.390625,1.0047,37081.31484,37597.951452631576,-516.636612631577,23.209912271848758,21.516666666666666,19,6,48277.0,67500.0,9.0,10857.199103448278,30080.199103448278,True
VA,9129.013375037595,3293.205231879699,10790.888803308271,5257.219994887218,4501.059672180451,0.0,6599.155311879699,39570.54262556391,59259.15625,1.0625,42534.594,35096.50281509434,7438.091184905657,23.96029821358254,21.002399999999998,20,10,49837.0,62500.0,38.0,10266.45737443609,22929.45737443609,True
VT,9161.744768571429,3941.0656714285715,11165.450682857143,6772.399817142857,4747.664991428572,0.0,6523.128291428571,42311.45434285714,86721.6171875,1.1361,46745.978,41102.0388,5643.939200000001,23.81183229063511,19.6675,18,2,49529.0,,,7217.5456571428585,,True
WA,8879.295529230769,3566.1168892307687,11569.868221538462,4339.564686153847,4509.463741538462,0.0,5023.75284,37888.061784615384,57949.953125,1.0173,39226.543314285715,36326.5,2900.0433142857146,25.883060965217343,23.106666666666666,20,13,53837.0,36400.0,41.0,15948.938215384616,-1488.0617846153837,True
WI,6778.504283333333,3137.8990816666665,10957.438295,5284.594956666666,3593.1040033333334,0.0,5277.05774,35028.59836666667,59595.95703125,0.9405,35430.581584615386,34801.39046086957,629.1911237458189,23.213316555942264,21.13538888888889,20,13,48284.0,42500.0,96.0,13255.401633333327,7471.4016333333275,False
WV,6618.840864,2988.413424,11040.462560727274,8063.599010181819,3481.0870778181816,0.0,6153.936739636364,38346.34010181818,53576.703125,1.0296,37708.1952,38740.48842352941,-1032.2932235294065,21.791762708750124,19.48428571428571,20,7,45327.0,65250.0,4.0,6980.659898181817,26903.659898181817,True
WY,7681.04347826087,3449.5036904347826,11839.09968521739,7201.375533913043,4033.036179130435,0.0,5288.969838260869,39493.028765217394,82162.515625,1.0604,36853.8912,39744.375199999995,-2890.4839999999967,24.63033538113815,22.213333333333335,19,3,51231.0,83250.0,2.0,11737.971234782606,43756.971234782606,True
